"playernum","Game","whyplay","Weekly_Hours","Gender","Age","Work","Degree","Residence","Playstyle","GAD_T","SWL_T","SPIN_T","Residence_ISO3","motivation","occupation","styleofplay"
11027,"League of Legends","improving",60,"Male",22,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",6,25,5,"USA","improving","Student","Multiplayer - online - with real life friends"
11028,"League of Legends","having fun",35,"Male",18,"Student at college / university","High school diploma (or equivalent)","Netherlands","Multiplayer - online - with real life friends",14,15,46,"NLD","having fun","Student","Multiplayer - online - with real life friends"
11029,"League of Legends","having fun",25,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",6,14,15,"USA","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
11030,"League of Legends","improving",30,"Male",18,"Student at school","High school diploma (or equivalent)","Canada","Multiplayer - online - with real life friends",1,24,25,"CAN","improving","Student","Multiplayer - online - with real life friends"
11031,"Other","having fun",42,"Male",20,"Student at college / university","Bachelor (or equivalent)","Sweden","Multiplayer - online - with real life friends",0,26,2,"SWE","having fun","Student","Multiplayer - online - with real life friends"
11032,"League of Legends","improving",15,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",1,14,31,"USA","improving","Student","Multiplayer - online - with real life friends"
11033,"League of Legends","winning",70,"Male",21,"Student at college / university","Bachelor (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",4,28,13,"USA","winning","Student","Multiplayer - online - with online acquaintances or teammates"
11034,"League of Legends","improving",43,"Male",20,"Student at college / university","High school diploma (or equivalent)","Italy","Multiplayer - online - with real life friends",12,10,28,"ITA","improving","Student","Multiplayer - online - with real life friends"
11035,"League of Legends","improving",60,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",21,5,47,"USA","improving","Student","Multiplayer - online - with online acquaintances or teammates"
11036,"League of Legends","improving",80,"Male",18,"Student at school","High school diploma (or equivalent)","UK","Multiplayer - online - with strangers",4,23,35,"GBR","improving","Student","Multiplayer - online - with strangers"
11037,"League of Legends","having fun",3,"Male",19,"Student at college / university","High school diploma (or equivalent)","Denmark","Multiplayer - online - with real life friends",1,25,4,"DNK","having fun","Student","Multiplayer - online - with real life friends"
11038,"League of Legends","improving",29,"Male",19,"Unemployed / between jobs","High school diploma (or equivalent)","Israel","Multiplayer - online - with strangers",2,16,13,"ISR","improving","Unemployed","Multiplayer - online - with strangers"
11039,"League of Legends","having fun",37,"Female",19,"Unemployed / between jobs","High school diploma (or equivalent)","Portugal","Multiplayer - online - with online acquaintances or teammates",11,9,31,"PRT","having fun","Unemployed","Multiplayer - online - with online acquaintances or teammates"
11040,"League of Legends","improving",60,"Male",18,"Student at school","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",10,23,35,"USA","improving","Student","Multiplayer - online - with strangers"
11041,"League of Legends","improving",80,"Male",23,"Unemployed / between jobs","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",2,8,23,"USA","improving","Unemployed","Multiplayer - online - with real life friends"
11042,"League of Legends","improving",20,"Male",24,"Student at college / university","High school diploma (or equivalent)","Germany","Multiplayer - online - with strangers",10,15,31,"DEU","improving","Student","Multiplayer - online - with strangers"
11043,"League of Legends","improving",50,"Male",18,"Unemployed / between jobs","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",5,11,45,"USA","improving","Unemployed","Multiplayer - online - with real life friends"
11044,"League of Legends","improving",30,"Male",18,"Student at school","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",3,20,13,"USA","improving","Student","Multiplayer - online - with real life friends"
11046,"League of Legends","having fun",35,"Male",21,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",5,19,24,"USA","having fun","Employed","Multiplayer - online - with online acquaintances or teammates"
11047,"League of Legends","improving",23,"Male",22,"Unemployed / between jobs","Bachelor (or equivalent)","France","Singleplayer",2,18,8,"FRA","improving","Unemployed","Singleplayer"
11048,"Diablo 3","improving",50,"Male",29,"Unemployed / between jobs","High school diploma (or equivalent)","Unknown","Singleplayer",19,5,53,NA,"improving","Unemployed","Singleplayer"
11049,"League of Legends","having fun",16,"Male",18,"Student at school","High school diploma (or equivalent)","Greece","Multiplayer - online - with real life friends",12,18,24,"GRC","having fun","Student","Multiplayer - online - with real life friends"
11050,"League of Legends","improving",50,"Male",20,"Employed","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",6,16,18,"USA","improving","Employed","Multiplayer - online - with online acquaintances or teammates"
11051,"League of Legends","improving",18,"Male",22,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",0,28,10,"USA","improving","Student","Multiplayer - online - with real life friends"
11052,"League of Legends","winning",50,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",7,5,47,"USA","winning","Student","Multiplayer - online - with real life friends"
11054,"League of Legends","improving",38,"Male",18,"Student at school","None","Morocco","Multiplayer - online - with strangers",7,7,30,"MAR","improving","Student","Multiplayer - online - with strangers"
11055,"League of Legends","having fun",60,"Other",20,"Unemployed / between jobs","High school diploma (or equivalent)","Canada","Multiplayer - online - with real life friends",17,9,44,"CAN","having fun","Unemployed","Multiplayer - online - with real life friends"
11056,"Starcraft 2","having fun",38,"Male",20,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",2,23,NA,"USA","having fun","Student","Multiplayer - online - with strangers"
11057,"League of Legends","having fun",23,"Male",18,"Student at school","High school diploma (or equivalent)","Netherlands","Multiplayer - online - with real life friends",0,24,0,"NLD","having fun","Student","Multiplayer - online - with real life friends"
11058,"Other","having fun",17,"Male",22,"Employed","Bachelor (or equivalent)","Lithuania","Multiplayer - online - with real life friends",1,16,14,"LTU","having fun","Employed","Multiplayer - online - with real life friends"
11059,"Other","having fun",48,"Male",22,"Employed","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",21,13,25,"USA","having fun","Employed","Multiplayer - online - with online acquaintances or teammates"
11060,"Counter Strike","having fun",38,"Male",21,"Employed","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",0,27,0,"USA","having fun","Employed","Multiplayer - online - with real life friends"
11061,"World of Warcraft","improving",33,"Male",24,"Student at college / university","High school diploma (or equivalent)","New Zealand ","Multiplayer - online - with online acquaintances or teammates",2,11,18,"NZL","improving","Student","Multiplayer - online - with online acquaintances or teammates"
11062,"League of Legends","relaxing",17,"Male",18,"Student at school","High school diploma (or equivalent)","Portugal","Multiplayer - online - with real life friends",13,15,38,"PRT","relaxing","Student","Multiplayer - online - with real life friends"
11063,"League of Legends","winning",17,"Male",21,"Employed","High school diploma (or equivalent)","UK","Multiplayer - online - with online acquaintances or teammates",1,27,2,"GBR","winning","Employed","Multiplayer - online - with online acquaintances or teammates"
11064,"League of Legends","improving",23,"Male",20,"Student at college / university","Bachelor (or equivalent)","USA","Multiplayer - online - with real life friends",4,29,17,"USA","improving","Student","Multiplayer - online - with real life friends"
11066,"League of Legends","improving",25,"Male",22,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",16,12,44,"USA","improving","Student","Multiplayer - online - with strangers"
